Epoch:  28%|██▊       | 55/200 [24:30<1:05:07, 26.95s/epoch]Epoch 054 | Learning rate 0.000750 | train normalized MSE   0.3028 | val normalized MSE   0.3482, | val MAE   1.4573 | val MSE   8.7061
Epoch:  28%|██▊       | 56/200 [24:57<1:04:54, 27.04s/epoch]Epoch 055 | Learning rate 0.000750 | train normalized MSE   0.3058 | val normalized MSE   0.3480, | val MAE   1.4361 | val MSE   8.6992
Epoch:  28%|██▊       | 57/200 [25:23<1:04:02, 26.87s/epoch]Epoch 056 | Learning rate 0.000750 | train normalized MSE   0.3090 | val normalized MSE   0.3295, | val MAE   1.4096 | val MSE   8.2364
Epoch:  29%|██▉       | 58/200 [25:49<1:03:02, 26.64s/epoch]Epoch 057 | Learning rate 0.000750 | train normalized MSE   0.3057 | val normalized MSE   0.3289, | val MAE   1.4213 | val MSE   8.2232
Epoch:  30%|██▉       | 59/200 [26:15<1:02:11, 26.46s/epoch]Epoch 058 | Learning rate 0.000750 | train normalized MSE   0.3006 | val normalized MSE   0.3323, | val MAE   1.4532 | val MSE   8.3079
Epoch:  30%|███       | 60/200 [26:41<1:01:27, 26.34s/epoch]Epoch 059 | Learning rate 0.000750 | train normalized MSE   0.3036 | val normalized MSE   0.3366, | val MAE   1.4257 | val MSE   8.4155
Epoch:  30%|███       | 61/200 [27:10<1:02:31, 26.99s/epoch]Epoch 060 | Learning rate 0.000750 | train normalized MSE   0.3058 | val normalized MSE   0.3323, | val MAE   1.4119 | val MSE   8.3077
Epoch:  31%|███       | 62/200 [27:38<1:03:02, 27.41s/epoch]Epoch 061 | Learning rate 0.000750 | train normalized MSE   0.2962 | val normalized MSE   0.3277, | val MAE   1.3906 | val MSE   8.1913
Epoch:  32%|███▏      | 63/200 [28:08<1:04:11, 28.12s/epoch]Epoch 062 | Learning rate 0.000750 | train normalized MSE   0.2995 | val normalized MSE   0.3282, | val MAE   1.3960 | val MSE   8.2055
Epoch:  32%|███▏      | 64/200 [28:37<1:03:59, 28.23s/epoch]Epoch 063 | Learning rate 0.000750 | train normalized MSE   0.2930 | val normalized MSE   0.3576, | val MAE   1.5191 | val MSE   8.9403
Epoch:  32%|███▎      | 65/200 [29:04<1:03:01, 28.01s/epoch]Epoch 064 | Learning rate 0.000750 | train normalized MSE   0.2922 | val normalized MSE   0.3290, | val MAE   1.3946 | val MSE   8.2259
Epoch:  33%|███▎      | 66/200 [29:30<1:01:10, 27.39s/epoch]Epoch 065 | Learning rate 0.000750 | train normalized MSE   0.2878 | val normalized MSE   0.3481, | val MAE   1.4836 | val MSE   8.7029
